,deptCode,courseNum,description
0,AAS,100,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics."
1,AAS,120,Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's.
2,AAS,200,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. "
3,AAS,201,"Same as AFRO 201, LLS 201, and PS 201. See PS 201."
4,AAS,246,Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.
5,AAS,275,Same as GWS 275. See GWS 275.
6,AAS,281,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281."
7,AAS,283,Same as HIST 283. See HIST 283.
8,AAS,287,"Introduction to the interdisciplinary study of food to better understand the historical, social, and cultural aspects of Asian American food preparation, distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits, and rituals around food in restaurants, ethnic cookbooks, fictional works, memoirs, magazines, and television shows. "
9,AAS,297,Same as HDFS 221 and SOCW 297. See SOCW 297.
10,AAS,310,"Same as AFRO 310, EPS 310, and LLS 310. See EPS 310."
11,AAS,370,"Exploration of the histories, cultures, and experiences of immigration to the United States by examining cultural production (literary and visual narratives and texts) alongside legal discourses (legislation, federal court cases). "
12,AAS,395,Supervised reading and research in upper level Asian American Studies topics chosen by the student with instructor approval. 
13,AAS,402,Same as EPS 402. See EPS 402.
14,ABE,100,"Introduction to the engineering profession with career opportunities in the agricultural and biological engineering discipline. Concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and teambuilding. Familiarization with laboratories, computer facilities, internships, and other opportunities. Team design experience. Emphasis on technical communication and problem-solving skills as well as career planning."
15,ABE,199,May be repeated to a maximum of 12 hours.
16,ABE,223,"Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. "
17,ABE,224,Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. 
18,ABE,341,"Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. "
19,ABE,361,"Design and development concepts of agricultural and industrial machines; analysis and synthesis of tillage, planting, harvesting, chemical application, material handling mechanisms, and precision farming tools. "
20,ABE,397,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. "
21,ABE,424,"The objective of this course is to prepare students in design, navigation, control, and autonomy of aerial and ground robots that operate in harsh, uncertain, and changing field environments. The course will cover three primary aspects of field robotics: perception (sensing), motion control, and data analytics, and bring everything together through labs involving ground robots and flying unmanned aircraft (drones). "
22,ABE,430,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. "
23,ABE,436,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. "
24,ABE,440,"Same as ANSC 440, CPSC 440, FSHN 440, and NRES 440. See CPSC 440."
25,ABE,445,Same as ANSC 445 and NRES 445. See ANSC 445.
26,ABE,459,"Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. "
27,ABE,466,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 
28,ABE,476,"Principles and applications of indoor air quality. Particle mechanics, gas kinetics, air quality sampling principles and techniques, air cleaning technologies such as filters, cyclones, electrostatic precipitation for indoor environments; ventilation effectiveness for pollutant control. Research or design project. "
29,ABE,488,Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations; conventional and alternative feed stock materials; recovery of value-added coproducts and other variables involved in producing fuel ethanol; process simulation; economic analysis. 
30,ABE,497,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. "
31,ABE,498,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 
32,ABE,501,"Basic research orientation, research methods, presentation skills, laboratory practices, case studies, and professional and ethical conduct."
33,ABE,594,Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. 
34,ABE,597,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. 
35,ABE,599,Approved for S/U grading only. May be repeated.
36,ACCY,199,May be repeated.
37,ACCY,200,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. 
38,ACCY,201,"Introduction to the role of accounting information in establishing organization objectives and goals and identification of strategies to best achieve such objectives and goals. Topics focus on the utility of information necessary for the formation, execution and monitoring of the variety of contracts embedded in organization strategies. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. "
39,ACCY,202,Continuation of 
40,ACCY,290,"Formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience are required. "
41,ACCY,301,"Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. "
42,ACCY,302,"Decision making implications of information provided to organization managers and to external stakeholders such as investors, creditors, customers, and regulators. Concepts from economics, statistics, and psychology emphasize the use of quantitative techniques to comprehend uncertainty and risk. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. "
43,ACCY,303,"Regulation theory and practice as applied to accounting information. A general framework for regulation of accounting procedures is developed. This framework is applied to reporting, taxation, and regulated business activities. Projects facilitate self-discovery of knowledge and the development of professional attitudes and skills with emphasis on professional research. "
44,ACCY,304,"Broad perspective on accounting and control that considers attainment of all goals of an organization, including those concerned with financial objectives. Topics include the conceptual foundations of control and application of practical, analytical tools to the evaluation of an organization's control environment. Cases, class discussion and field research projects emphasize independent thinking, group processes, and communication. "
45,ACCY,312,"Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment, tax provisions relevant to businesses, employees and business owners. Projects facilitate self-discovery of knowledge and envelopment of a variety of professional skills and attitudes. "
46,ACCY,321,"Same as ACE 321, BADM 303, and PS 321. See PS 321."
47,ACCY,398,"Course covers the professional standards relating to corporate financial reporting, taxation, auditing and public sector reporting. Serves as a review course for the Uniform Certified Public Accountant (CPA) Examination. "
48,ACCY,405,"Conceptual introduction to diverse means by which assurers improve the quality of information used by third parties for contracting purposes, with emphases on the credibility- and relevance-enhancement properties of assurers' services. Topics include the economics of assurance and attestation, and concepts including independence, risk, evidence, and control. Projects facilitate self-discovery of knowledge and development of professional skills and attitudes. "
49,ACCY,410,"Current authoritative accounting standards and applications to accounting practice. Topics do not represent the full range of financial reporting issues, but are selected based on relevance of the underlying business transaction, complexity of the topic, consistency of applicable standard with underlying reporting concepts, and transferability of the standard to other accounting issues.  "
50,ACCY,415,"Framework for understanding and evaluating the professional auditing standards for assurance services. Model of financial reporting provides an overview of the types of information disseminated by companies to external users, and provides the basis for identifying professional standards areas for future standards' development. "
51,ACCY,451,"Introduction to the U.S. federal income taxation of corporations, their shareholders and owners, as well as entities receiving flow-through treatment under U.S. federal tax law e.g., Subchapter S corporations, partnerships and limited liability companies). "
52,ACCY,499,Research and readings course for students majoring in accountancy. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 
53,ACCY,500,"A managerial perspective of the nature and role of accounting in organizational measurement, reporting and control processes. "
54,ACCY,501,"Uses of accounting information; collection, processing, and communication of accounting information; measurement of assets, liabilities, equities, and income; and accounting system design. "
55,ACCY,502,"In-depth study of accounting valuation processes, accounting income measurement, and special reporting problems of multiple-entity organizations. "
56,ACCY,504,"Introduction to conceptual and applied material in the field of auditing. Emphasizes the audit process, reporting, and professional responsibilities. "
57,ACCY,505,Introduction to historical and conceptual as well as applied material in the accounting area of federal taxation; emphasizes the provisions of the tax law relevant to accounting measurement methods. 
58,ACCY,506,"Financial accounting principles related to entities other than the ""single"" corporate entity. These other organizational forms include the consolidated corporate entity and the partnership entity. Topics include consolidated financial statements, intra-entity asset transactions, segment and interim reporting, foreign currency transactions and hedging foreign exchange risk, translating foreign currency financial statements, formation and operation of partnerships, and the development of worldwide financial reporting standards. "
59,ACCY,510,"Stakeholders' needs for reliable and relevant information about the performance of firms, as well as managers; economic self-interests, influence managers' selection of accounting policies and financial reporting methods. This course selectively surveys both academic research and professional standards to focus on the measurement, classification and disclosure of financial transactions. Cases, class discussion and research projects emphasize independent thinking, group processes, and communication. "
60,ACCY,512,"Data analytics incorporated into management decision making, including planning, cost management, and management control system design. Focuses on developing your skills of gathering and analyzing data for internal decision making purposes. "
61,ACCY,515,"Role of professional and ethical standards in the conduct of auditing and assurance services and the role of auditing and assurance services in corporate governance. This course selectively surveys both academic and professional literature to focus on the conduct of auditing and assurance services. Cases, class discussion and research projects emphasize the importance of independent thinking, group processes, and communication for professional accounting practice.  "
62,ACCY,517,Examines tools and techniques of financial statement analysis from the perspective of investors and creditors; emphasizes theoretical and empirical properties of financial ratios. 
63,ACCY,518,"Introduction to fraud examination with an emphasis on financial statement fraud. The course provides a comprehensive introduction to fraud examination. The topics addressed in the course include the unique characteristics of fraud examinations and a comparison to financial statement audits, the characteristics that should be possessed by fraud examiners, an overview of the fraud examination process, the nature and extent of fraud, an introduction to the taxonomy of financial statement frauds, techniques for evidence collection including interview techniques, Benford's law, and the development of fraud reports. "
64,ACCY,551,"Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving corporations and their shareholders; coverage includes formations, operations, distributions, liquidations, reorganizations, and affiliations. "
65,ACCY,556,Provides the student with a working knowledge of tax research methodology utilized by accountants in public practice. Aims to develop the student's capacity for either solving or defending his/her position with respect to a particular tax issue. 
66,ACCY,569,"This course prepares accounting students to use analytic software to explore, visualize, and statistically analyze accounting data. "
67,ACCY,570,"Concepts and foundations underlying data analytics for accountancy. Provides fundamental knowledge of how to acquire, organize, synthesize and analyze large volumes of data to address questions and problems. After completing this course, students should (1) have a foundational understanding of the techniques underlying data analytics, (2) recognize scenarios and identify appropriate tools for various types of data analysis and (3) use common computer-based tools to perform data analysis. "
68,ACCY,592,"Comparative study of alternative methodologies and conceptual frameworks and their application to selected current research issues central to the development of accounting thought, both theoretical and empirical. "
69,ACCY,593,"Individual investigations or research projects selected by the students, subject to approval by the graduate adviser and the executive officer of the Department. "
70,ACCY,599,Individual direction and guidance in writing theses; seminar discussion of progress made. 
71,ACE,100,"Principles of microeconomics; demand, production, supply, elasticity, markets, and trade are presented and used in the analysis of decisions of individuals relating to agricultural production, food and textile consumption, and natural resource use. Macroeconomic concepts are also introduced. "
72,ACE,161,Instruction and practice in solving data-related problems with microcomputers and general purpose software packages.
73,ACE,199,Experimental course on a special topic in agricultural and consumer economics. Topic may not be repeated except in accordance with the Code. 
74,ACE,210,"Economic issues surrounding environmental quality, including: costs and benefits of environmental protection; economics of environmental policies (such as those dealing with toxics, water, and air pollution, and municipal solid waste); and economics of international environmental problems (such as ozone depletion and climate change). "
75,ACE,222,"Examines factors affecting the size of the market for agricultural products and the scope of marketing activities; functions and services performed; pricing agricultural products, including the nature and causes of price fluctuations; and costs of marketing and efforts to reduce costs and improve the marketing system."
76,ACE,240,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. "
77,ACE,251,"Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. "
78,ACE,261,"Statistical methods and computer applications for agricultural and consumer economics, including descriptive statistics, probability distribution, interval estimation, hypothesis testing, analysis of variance, simple and multiple regression, and non-parametric methods. "
79,ACE,293,"Supervised, off-campus experience in a field directly pertaining to a subject matter in agricultural and consumer economics. "
80,ACE,294,"Supervised, on-campus, learning experience with faculty engaged in research. "
81,ACE,295,"Individual or small group research, special problems, or other studies under the supervision of an appropriate member of the faculty. "
82,ACE,306,"Explores the legal and political dimensions of food law, policy and trade in the United States and major trading partners. Examines the development of major national and state laws that apply to production, distribution and retail sale of food. Evaluates current issues in food regulation, including: biotechnology, organics, health labeling claims, food safety and products liability litigation. Discusses food regulation in other countries within the context of international treaties such as the World Trade Organization and United Nations."
83,ACE,321,"Same as ACCY 321, BADM 303, and PS 321. See PS 321."
84,ACE,341,Students study contemporary issues and career opportunities associated with various concentrations in the Department of Agricultural and Consumer Economics. An in-depth dialogue with industry professionals helps develop an understanding of the skill sets needed to succeed in each of the different career paths discussed. 
